handle	title	abstract
A2020-Evidence_for_and_against_vertical_transmission_for_SARS-CoV-2_COVID-19	Evidencia a favor y en contra de la transmisión vertical del SARS-CoV-2 (COVID-19)	El COVID-19 puede afectar gravemente a las mujeres embarazadas y existe también el problema de la transmisión vertical del SARS-CoV-2. El SARS-CoV-2 podría detectarse por PCR en tiempo real (TR) mediante hisopados nasales y de garganta, esputo y heces de pacientes sintomáticos, neonatos inclusive, pero no de hisopados vaginales, líquido amniótico, placenta, sangre del cordón umbilical, sangre del neonato o leche materna. La viremia estuvo presente en el 1% de los adultos sintomáticos. Se identificaron 12 artículos publicados entre el 10 de febrero y el 4 de abril de 2020 sobre 68 partos y 71 neonatos con infección de la madre en el tercer trimestre del embarazo. La exposición perinatal, incluyendo el modo de parto y el intervalo de tiempo desde el parto hasta el diagnóstico de la infección neonatal son cruciales para diferenciar la infección congénita de la perinatal. La infección neonatal suele ser asintomática. En 4 casos, la infección neonatal fue diagnosticada dentro de las 48 horas de vida.Las tasas de detección de PCR en tiempo real y la interpretación de los niveles de anticuerpos IgM e IgG en la sangre del cordón umbilical y del recién nacido se discuten en relación con la inmadurez del sistema inmunológico fetal y neonatal.
A_2020-COVID-19_Tragic_Pandemic-Concerns_over_Unintentional_Directed_Accelerated_Evolution_of_Novel_Coronavirus_SARS-CoV-2_and_Introducing_a_Modified_Treatment_Method_for_ARDS	Pandemia trágica COVID-19: Preocupación por la “evolución acelerada dirigida” involuntaria del nuevo coronavirus (SARS-CoV-2) y la presentación de una modificación al método de tratamiento del SDRA.	Las autoridades sanitarias mundiales están tratando de calcular el estado actual del brote de coronavirus (COVID-19) y explorar métodos para reducir la tasa de transmisión a individuos sanos. Desde este punto de vista, brindamos información acerca de cómo los profesionales de la salud pueden tornar, de forma involuntaria, el nuevo tipo de coronavirus hacia formas más resistentes a los medicamentos. Vale la pena señalar que los virus suelen tener diferentes sensibilidades a agentes físicos y químicos dañinos, tales como los medicamentos antivirales, los rayos UV y el calor, que van desde extremadamente sensible (ES) a extremadamente resistente (ER) basándose en una curva con forma de campana. Por consiguiente, la infección generalizada en las personas con virus ER sería un auténtico desastre. Aquí presentamos un método de tratamiento modificado para la neumonía asociada al COVID-19. En este método propuesto, los pacientes con COVID-19 recibirán una dosis única de 100, 180 o 250 mSv de radiación, que es menor que la dosis máxima anual de radiación de los residentes de áreas de alta radiación en Ramsar, que es de hasta 260 mSv. A diferencia de los medicamentos antivirales, una sola dosis de 100, 180 o 250 mSv de rayos X de baja potencia no es capaz de ejercer una presión selectiva significativa sobre el nuevo coronavirus (SARS-CoV-2) y, por ende, no conduce a la evolución acelerada de estos virus. Además, la radiación de baja dosis (RBD) tiene la capacidad de modular las respuestas inflamatorias excesivas, la regulación de los recuentos de linfocitos y el control de las coinfecciones bacterianas en pacientes con COVID-19.
Abbara2020-Coronavirus_2019_and_health_systems_affected_by_protracted_conflict-the_case_of_Syria	El coronavirus 2019 y los sistemas de salud afectados por el conflicto prolongado: el caso de Siria	Introducción: Dos tercios de los países del mundo no están preparados para responder a una emergencia de salud según las Normas Internacionales de Salud (2005) siendo particularmente vulnerables los países afectados por conflictos como Siria.Las influencias políticas sobre la preparación, la respuesta y el reporte de brotes también pueden afectar negativamente el control del SARS-CoV-2 en Siria. Siria informó su primer caso el 22 de marzo de 2020, sin embargo, se cuestionó que la información fue retrasada y que el registro sigue siendo insuficiente. El conflicto principal de Siria ha desplazado a más de la mitad de su población preguerra, dejando 6,7 millones de personas desplazadas internamente. El consecuente hacinamiento con agua, saneamiento y asistencia sanitaria insuficientes (incluida la capacidad de los laboratorios) podría llevar a condiciones ideales para la propagación del SARS-CoV-2 en Siria. Los cambios políticos han llevado a la creación de al menos tres sistemas de salud dentro de las fronteras de Siria, cada uno con su propia gobernanza, capacidad y planificación. Esta fragmentación con poca interacción entre ellos podría conducir a una mala asignación de recursos y afectar negativamente al control. Como tal, el COVID-19 podría saturar los sistemas de salud (en particular la capacidad de cuidados intensivos) llevando a gran cantidad de muertes en toda la población, especialmente para los sectores más vulnerables como los detenidos. Conclusiones: En Siria se requieren intervenciones que mejoren rápidamente las condiciones del agua y el saneamiento y la capacidad del sistema de salud para garantizar la detección precoz y el manejo de los casos de COVID-19.
Abbasi-Oshaghi2020-Diagnosis_and_treatment_of_coronavirus_disease_2019_COVID-19_-Laboratory_PCR_and_chest_CT_imaging_findings	Diagnóstico y tratamiento de la enfermedad de coronavirus del 2019 (COVID-19): Resultados de laboratorio, PCR y TC de tórax	Desde diciembre de 2019, se han reportado más de 3 millones de casos de la enfermedad del coronavirus del 2019 (COVID-19) y cerca de 200.000 muertes en todo el mundo. El brote de esta nueva enfermedad se ha convertido en una emergencia sanitaria mundial y sigue extendiéndose rápidamente en todo el mundo. Basándose en los datos clínicos, los casos comprobados se dividen en cuatro clases: leve, moderada, grave y crítica. Alrededor del 5% de los casos se consideraron críticos y el 14% fueron clasificados como graves.En China, la tasa de mortalidad de esta infección fue del 4%. Esta revisión se centra en la información disponible actualmente sobre la etiología, los síntomas clínicos, el diagnóstico y el mecanismo de acción del COVID-19. Además, se presenta un resumen de los enfoques de diagnóstico y tratamiento de esta enfermedad según los resultados disponibles. Este artículo de revisión ayudará al médico a diagnosticar y tratar con éxito el COVID-19.
Abbott2020-Development_of_CRISPR_as_an_Antiviral_Strategy_to_Combat_SARS-CoV-2_and_Influenza	Desarrollo de CRISPR como estrategia antiviral para combatir el SARS-CoV-2 y la influenza.	La pandemia de coronavirus 2019 (COVID-19), causada por el virus SARS-CoV-2, ha puesto de relieve la necesidad de contar con enfoques antivirales que puedan atacar los virus emergentes que no cuenten con vacunas eficaces o fármacos. Aquí demostramos una estrategia basada en CRISPR-Cas13, PAC-MAN (CRISPR profiláctico en células humanas), para la inhibición viral que puede degradar eficazmente el ARN de las secuencias del SARS-CoV-2 y el virus vivo de la influenza tipo A en células epiteliales pulmonares humanas. Se diseñaron y examinaron los ARN CRISPR (ARNcr) apuntando a regiones virales conservadas y ARNcr operativos identificados dirigidos al SARS-CoV-2. Este enfoque redujo eficazmente la carga del virus H1N1 en las células epiteliales respiratorias. Nuestro análisis bioinformático demostró que un grupo de tan sólo seis ARNcr puede atacar más del 90% de todos los coronavirus. Con el desarrollo de un sistema seguro y eficaz para el suministro a través del tracto respiratorio, el PAC-MAN tiene el potencial de convertirse en una estrategia de inhibición importante de la pandemia del coronavirus. Se desarrolló una estrategia basada en las CRISPR para atacar secuencias conservadas en los coronavirus y otros virus patógenos.
Abdessater2020-COVID19_pandemic_impacts_on_anxiety_of_French_urologist_in_training-Outcomes_from_a_national_survey	Consecuencias de la pandemia COVID-19 en la ansiedad de los urólogos franceses en formación: Resultados de una encuesta nacional.	Introducción: El brote de COVID-19 en Francia está alterando nuestro sistema de salud. Los urólogos en formación, que ya se sabe que padecen el síndrome del quemado, están en la primera línea para enfrentar esta enfermedad. El objetivo de nuestro estudio fue evaluar el impacto psicológico de la pandemia COVID-19 en los urólogos franceses jóvenes en formación. Material y métodos: Se les envío a los miembros de la Asociación Francesa de Urólogos en Formación (AFUF) un cuestionario anónimo autoadministrado para evaluar el estrés añadido por la pandemia, y su impacto negativo en la calidad de su trabjo y formación.La asociación incluye a todos los residentes franceses júniores y séniores. La encuesta duró 3 días. Se realizaron análisis multivariables usando regresión logística para identificar los factores predictivos. Resultados: Doscientos setenta y cinco (55,5%) de los 495 miembros de la AFUF respondieron al cuestionario. Más del 90% de los encuestados se sentían más estresados por la pandemia. Los residentes júniores y séniores fueron más propensos a sentir que la crisis tuvo un impacto significativo en la calidad de su trabajo (OR=1,76, IC95 = [1,01–3,13]), más aún cuando 19 pacientes con COVID-19 se presentaron en su departamento (OR=2,31, IC95 = [1,20–4,65]). Tener antecedentes médicos de enfermedad respiratoria (OR=2,57, IC95 = [1,31–5,98]) y hacerse cargo de pacientes con COVID-19 (OR=1,85, IC95=[0,98–3,59]) fueron factores de riesgo adicionales. Conclusión: La pandemia COVID-19 tiene un impacto negativo en los urólogos franceses jóvenes en formación y en la calidad de su trabajo y formación. El manejo de su bienestar psicosocial durante este tiempo es tan importante como el manejo de su salud física. Nivel de evidencia 3.
Abdo2020-On_a_comprehensive_model_of_the_novel_coronavirus_COVID-19_under_Mittag-Leffler_derivative	Sobre un modelo integral del nuevo coronavirus (COVID-19) bajo el derivado de Mittag-Leffler.	El objetivo principal del presente estudio es analizar y encontrar la solución para el modelo de ecuaciones diferenciales fraccionadas no lineales describiendo el virus fatal y malévolo llamado coronavirus (COVID-19).Se presenta el modelo matemático en función de catorce EFD no lineales y se estudian los resultados numéricos correspondientes aplicando el método fraccionado de Adams Bashforth (AB). Por otra parte, se aplica un operador fraccionado no local conocido como Atangana-Baleanu (AB) para lograr mayor eficacia. Para los resultados actuales, se emplean los teoremas de punto fijo de Krasnoselskii y Banach para presentar la existencia, singularidad y estabilidad del modelo. Para simulaciones numéricas, se presenta el comportamiento de la solución aproximada en términos de gráficos a través de diferentes órdenes de fracción. Finalmente, se da una breve discusión sobre la simulación para describir cómo la dinámica de transmisión de la infección se produce en la sociedad.
Abduljalil2020-Epidemiology_genome_and_clinical_features_of_the_pandemic_SARS-CoV-2-a_recent_view	Epidemiología, genoma y características clínicas de la pandemia SARS-CoV-2: Una visión reciente.	Desde la aparición del coronavirus del síndrome respiratorio agudo grave de tipo 2 (SARS-CoV-2) en Wuhan, China, el número de casos confirmados globalmente de acuerdo con las estadísticas de la Organización Mundial de la Salud alcanzó 292.124 en 189 países al 22 de marzo de 2020. El número de muertes alcanzó 12.784, con tasas de letalidad estimadas entre el 0,5 y el 5,7%. La población infantil parece ser la menos afectada por la enfermedad, mientras que la mayor tasa de mortalidad se da en los ancianos y las personas con comorbilidades. La mayoría de los individuos infectados son asintomáticos o sólo presentan síntomas leves. Después del período de incubación, los síntomas más comunes son fiebre, tos y fatiga. El estado de portador asintomático es de suma importancia debido a la capacidad de los portadores de trasmitir la infección y esparcir el virus en el aire y los alrededores. Aunque aún se desconoce mucho acerca del SARS-CoV-2, la investigación científica está avanzando a un ritmo sin precedentes para entender la naturaleza, el control efectivo, la prevención y el tratamiento del SARS-CoV-2. Varios informes han sugerido una evolución in vivo del virus, que puede explicar la rápida diseminación y epidemiología cambiante del SARS-CoV-2, pero se necesita más evidencia. Desafortunadamente, no hay un tratamiento eficaz o un fármaco terapeútico para la enfermedad; solo se dispone de tratamientos de apoyo y medidas clásicas de intervención para enfrentar la pandemia del SARS-CoV-2.
Abdullah2020-A_Critical_Appraisal_of_COVID-19_in_Malaysia_and_Beyond	Una evaluación crítica del COVID-19 en Malasia y más allá.	Cuando el primer informe del COVID-19 apareció en diciembre de 2019 desde Wuhan, China, el mundo lo percibió como otra enfermedad pseudogripal. Muchos se sorprendieron de los pasos extremos que China había tomado posteriormente para aislar Wuhan del resto del mundo. Sin embargo, en febrero de 2020, el virus SARS-CoV-2, que causa la COVID-19, se había propagado tan rápidamente en todo el mundo que la Organización Mundial de la Salud declaró la enfermedad como una pandemia. La COVID-19 no es la primera pandemia del mundo, de modo que lo que la hace tan única en Malasia, se discute para evitar un futuro coronacoma.
Abdullah2020-Air_quality_status_during_2020_Malaysia_Movement_Control_Order_MCO_due_to_2019_novel_coronavirus_2019-nCoV_pandemic	Estado de calidad del aire durante el año 2020 Orden de Control de Movimiento en Malasia (MCO) debido a la pandemia del nuevo coronavirus 2019 (COVID-19)	Un brote de enfermedad respiratoria infectada por el nuevo coronavirus del 2019, oficialmente denominada enfermedad del coronavirus del 2019 (COVID-19) se detectó originalmente en Wuhan, China y se ha diseminado rápidamente en otras partes de China, así como también en otro países del mundo, incluyendo Malasia.El primer caso en Malasia se identificó el 25 de enero de 2020 y el número de casos continúa aumentando desde marzo de 2020. Por tanto, se implementó el Orden de Control de Movimiento en Malasia (MCO) con el objetivo de aislar la fuente del brote de COVID-19. Como resultado, hubo menos vehículos en la calle y se suspendió la operación de las industrias, reduciendo, de esta manera, las emisiones de contaminantes aéreos peligrosos en la atmósfera.Se ha adquirido la información del Índice de Contaminación Atmosférica (ICA) del Departamento de Medioambiente de Malasia por hora, antes y durante el MCO con el objetivo de rastrear los cambios de materias particuladas finas (PM2.5) en 68 estaciones de monitoreo de calidad del aire. Las concentraciones de PM2.5 mostraron una alta reducción de hasta el 58,4% durante el MCO. Varias zonas rojas (>41 casos confirmados de COVID-19) también redujeron hasta un 28,3% las variaciones de la concentración de PM2.5. La reducción no solo se debió a la MCO, por lo que los investigadores sugieren un estudio adicional considerando los factores de influencia que deban ser tenidos en cuenta en el futuro.
