A2020-Evidence_for_and_against_vertical_transmission_for_SARS-CoV-2_COVID-19	COVID-19 can severely affect pregnant women and the issue of vertical transmission of sars-cov-2 has also emerged. Sars-cov-2 could be recovered by real-time (RT) PCR from nasal and throat swabs, sputum and feces of symptomatic patients including neonates but not from vaginal swabs, amniotic fluid, placenta, cord blood, neonatal blood or breast milk. Viremia was present in 1% of symptomatic adults. We identified 12 articles published between February 10th and April 4th 2020 reporting on 68 deliveries and 71 neonates with maternal infection in the third trimester of pregnancy. Perinatal exposure, including mode of delivery and time interval from delivery to the diagnosis of neonatal infection are crucial in differentiating congenital from perinatal infection. Neonatal infection is usually asymptomatic. Neonatal infection was diagnosed within 48 hours of life in 4 cases. Detection rates of real-time PCR and the interpretation of IgM and IgG antibodies levels in cord and neonatal blood are discussed in relation with the immaturity of the fetal and neonatal immune system.
A_2020-COVID-19_Tragic_Pandemic-Concerns_over_Unintentional_Directed_Accelerated_Evolution_of_Novel_Coronavirus_SARS-CoV-2_and_Introducing_a_Modified_Treatment_Method_for_ARDS	Global health authorities are trying to work out the current status of the novel coronavirus (COVID-19) outbreak and explore methodsto reduce the rate of its transmission to healthy individuals. In this viewpoint we provide insights concerning how health care professionalscan unintentionally shift the novel coronavirus type to more drug-resistant forms. It is worth noting that viruses usually have differentsensitivities to physical and chemical damaging agents such antiviral drugs, UV and heat ranging from extremely sensitive (ES) to extremelyresistant (ER) based on a bell-shaped curve. Given this consideration, the widespread infection of people with such ER viruses would be a real disaster.Here, we introduce a modified treatment method for COVID-19-associated pneumonia. In this proposed method, COVID-19 patients will receive a singledose of 100, 180 or 250 mSv X-ray radiation that is less than the maximum annual radiation dose of the residents of high background radiationareas of Ramsar that is up to 260 mSv. In contrast with antiviral drugs, a single dose of either 100, 180 or 250 mSv of low LET X-rays cannotexert a significant selective pressure on the novel coronavirus (SARS-CoV-2) and hence does not lead to directed accelerated evolution of these viruses.Moreover, Low Dose Radiation (LDR) has the capacity of modulating excessive inflammatory responses, regulating lymphocyte counts, and controling bacterialco-infections in patients with COVID-19.
Abbara2020-Coronavirus_2019_and_health_systems_affected_by_protracted_conflict-the_case_of_Syria	IntroductionTwo thirds of countries globally are unprepared to respond to a health emergency as per the International Health Regulations (2005) with conflict-affected countries like Syria particularly vulnerable. Political influences on outbreak preparedness, response and reporting may also adversely affect control of SARS-CoV-2 in Syria. Syria reported its first case on 22 March 2020 however concerns were raised that this was delayed and that underreporting continues.MainSyria's conflict has displaced more than half its pre-war population leaving 6.7 million people internally displaced; consequent overcrowding with insufficient water, sanitation and healthcare (including laboratory capacity) could lead to conditions which are ideal for spread of SARS-CoV-2 in Syria. Political changes have led to the formation of at least three health systems within Syria's borders, each with their own governance, capacity and planning. This fragmentation with little interaction between them could lead to poor resource allocation and adversely affect control. As such, COVID-19 could overwhelm the health systems (particularly intensive care capacity) leading to high deaths across the population, particularly for the most vulnerable such as detainees.ConclusionsLocally implementable interventions which rapidly build WASH and health system capacity are required across Syria to ensure early detection and management of COVID-19 cases.
Abbasi-Oshaghi2020-Diagnosis_and_treatment_of_coronavirus_disease_2019_COVID-19_-Laboratory_PCR_and_chest_CT_imaging_findings	Since December 2019, more than 3 million cases of coronavirus disease 2019 (COVID-19) and about 200,000 deaths have been reported worldwide. The outbreak of this novel disease has become a global health emergency and continues to rapidly spread around the world. Based on the clinical data, approved cases are divided into four classes including mild, moderate, severe, and critical. About 5% of cases were considered critically ill and 14% were considered to have the severe classification of the disease. In China, the fatality rate of this infection was about 4%. This review focuses on currently available information on the etiology, clinical symptoms, diagnosis, and mechanism of action of COVID-19. Furthermore, we present an overview of diagnostic approaches and treatment of this disease according to available findings. This review paper will help the physician to diagnose and successfully treat COVID-19.
Abbott2020-Development_of_CRISPR_as_an_Antiviral_Strategy_to_Combat_SARS-CoV-2_and_Influenza	The coronavirus disease 2019 (COVID-19) pandemic, caused by the SARS-CoV-2 virus, has highlighted the need for antiviral approaches that can target emerging viruses with no effective vaccines or pharmaceuticals. Here, we demonstrate a CRISPR-Cas13-based strategy, PAC-MAN (prophylactic antiviral CRISPR in human cells), for viral inhibition that can effectively degrade RNA from SARS-CoV-2 sequences and live influenza A virus (IAV) in human lung epithelial cells. We designed and screened CRISPR RNAs (crRNAs) targeting conserved viral regions and identified functional crRNAs targeting SARS-CoV-2. This approach effectively reduced H1N1 IAV load in respiratory epithelial cells. Our bioinformatic analysis showed that a group of only six crRNAs can target more than 90% of all coronaviruses. With the development of a safe and effective system for respiratory tract delivery, PAC-MAN has the potential to become an important pan-coronavirus inhibition strategy.A CRISPR-based strategy is developed to target conserved sequences across coronaviruses and other pathogenic viruses.
Abboud2020-COVID-19_and_SARS-Cov-2_Infection-Pathophysiology_and_Clinical_Effects_on_the_Nervous_System	BackgroundCoronavirus disease 2019 (COVID-19) is an infectious disease caused by SARS-Cov-2, resulting in severe acute respiratory syndrome, with high potential of spreading and infecting humans worldwide. Since January 2020, when the virus was identified in humans, the literature on COVID-19 has grown exponentially and extrarespiratory symptoms including neurologic symptoms are increasingly highlighted.These neurologic disorders are grouped into several categories, ranging from nonspecific and moderate symptoms such as headache, myalgia, and hyposmia to severe symptoms including cerebrovascular disease and intracranial infections. Severe neurologic symptoms such as acute cerebrovascular disease occur only in a minority of patients with usual risk factors and are associated with poor outcome. However, most COVID-19 patients exhibit only minor or mild neurologic symptoms.MethodsGiven the high and increasing number of publications reporting neurologic involvements of SARS-Cov-2, we thought that providing an update for neurologic complications of COVID-19 would be useful for physicians and especially young trainees in neurology and neurosurgery. Indeed, in this review we discuss several neurologic aspects reported in the literature to date including the evidence and pathways of neuroinvasion in COVID-19 and the main neurologic disorders reported in the literature to date, as well as future perspectives and the potential long-term consequence of current neuroinfection in COVID-19 patients.ResultsCurrently, there is convincing evidence that SARS-CoV-2, the etiologic agent of COVID-19, can affect the nervous system, with damage and neurologic alterations.ConclusionsManagement of COVID-19 patients should include early clinical, radiologic, and laboratory neurologic assessment, with a close follow-up, especially in severe forms. Future studies should assess late and long-term consequences of current COVID-19 patients with neurologic involvement.
Abboud2020-Current_and_Emerging_Therapeutics_for_Neuromyelitis_Optica_Spectrum_Disorder-Relevance_to_the_COVID-19_Pandemic	Neuromyelitis optica spectrum disorder (NMOSD) can lead to immobility and bulbar weakness. This, in addition to the older age of onset and the higher rate of hospitalization compared to multiple sclerosis, makes this patient group a potential target for complicated COVID-19 infection. Moreover, many of the commonly used preventive therapies for NMOSD are cell-depleting immunouppsressants with increased risk of viral and bacterial infections. The emergence of several new NMOSD therapeutics, including immune-modulating agents, concurrently with the worldwide spread of the COVID-19 global pandemic call for careful therapeutic planning and add to the complexity of NMOSD management. Altering the common therapeutic approach to NMOSD during the pandemic may be necessary to balance both efficacy and safety of treatment. Selection of preventive therapy should take in consideration the viral exposure risk related to the route and frequency of administration and, most importantly, the immunological properties of each therapeutic agent and its potential impact on the risk of SARS-CoV-2 susceptibility and severity of infection. The impact of the therapeutic agent on the immune response against the future SARS-CoV-2 vaccine should also be considered in the clinical decision-making. In this review, we will discuss the immune response against SARS-CoV-2 and evaluate the potential impact of the current and emerging NMOSD therapeutics on infection risk, infection severity, and future SARS-CoV-2 vaccination. We propose a therapeutic approach to NMOSD during the COVID-19 pandemic based on analysis of the mechanism of action, route of administration, and side effect profile of each therapeutic agent.
Abdalhadi2020-Can_COVID_19_present_like_appendicitis	Coronavirus disease -19 is a novel pandemic contagious respiratory infection that frequently presents with fever and dry cough. However, it can present with other rare symptoms. As this disease is a new disease, the full picture of the disease presentation is not yet clear, and it might present with symptoms and signs of other common diseases. Here, we report a 40 year old female who presented with acute onset nausea, vomiting, loss of appetite and vague abdominal pain as a clinical picture of appendicitis, but her CT abdomen image showed normal appendix, bilateral patchy peripheral lung basal consolidation, and ground-glass attenuation, so she was tested for coronavirus disease-19, which was positive.
Abdalhadi2020-Confirmed_Coronavirus_Disease-19_COVID-19_in_a_Male_with_Chronic_Myeloid_Leukemia_Complicated_by_Febrile_Neutropenia_and_Acute_Respiratory_Distress_Syndrome	Coronavirus disease-19 is a respiratory viral disease that commonly presents with mild symptoms. However, it can cause serious complications such as acute respiratory disease, especially in patients with comorbidities. As it is a new disease, the full picture of the disease and its complications are not yet fully understood. Moreover, the patients at risk of complications are not well identified; and the data about the risk in patients with hematological malignancies is limited. Here, we report a 65-year-old male with accelerated phase chronic myeloid leukemia, on dasatinib, tested positive for coronavirus disease-19, then complicated with febrile neutropenia acute respiratory distress syndrome.
Abdessater2020-COVID19_pandemic_impacts_on_anxiety_of_French_urologist_in_training-Outcomes_from_a_national_survey	IntroductionThe COVID-19 outbreak in France is disturbing our health system. Urologists in training who are already known to have burnout, are in the front line to face this disease. The aim of our study was to assess the psychological impact of COVID-19 pandemic on young French urologists in training.Material and methodsA self-administered anonymous questionnaire evaluating the pandemic added stress, and its negative impact on work and training quality, was e-mailed to the members of the French Association of Urologists in Training (AFUF). The association includes all French junior and senior residents. The survey lasted 3 days. Multivariable analyses using logistic regression was performed to identify the predictive factors.ResultsTwo hundred and seventy-five (55.5%) of the 495 AFUF members responded to the questionnaire. More than 90% of responders felt more stressed by the pandemic. Fellows and senior residents were more likely to feel that the crisis had an important impact on their work quality (OR = 1.76, IC95 = [1.01–3.13]), even more when COVID 19 patients were present in their department (OR = 2.31, IC95 = [1.20–4.65]). Past medical history of respiratory disease (OR = 2.57, IC95 = [1.31–5.98]) and taking in charge COVID19 patients (OR = 1.85, IC95 = [0.98–3.59]) were additional risk factors.ConclusionCOVID19 pandemic has a negative impact on young French urologists in training and on their work and training quality. Managing their psychosocial well-being during this time is as important as managing their physical health.Level of evidence3.
Abdo2020-On_a_comprehensive_model_of_the_novel_coronavirus_COVID-19_under_Mittag-Leffler_derivative	The major purpose of the presented study is to analyze and find the solution for the model of nonlinear fractional differential equations (FDEs) describing the deadly and most parlous virus so-called coronavirus (COVID-19). The mathematical model depending of fourteen nonlinear FDEs is presented and the corresponding numerical results are studied by applying the fractional Adams Bashforth (AB) method. Moreover, a recently introduced fractional nonlocal operator known as Atangana-Baleanu (AB) is applied in order to realize more effectively. For the current results, the fixed point theorems of Krasnoselskii and Banach are hired to present the existence, uniqueness as well as stability of the model. For numerical simulations, the behavior of the approximate solution is presented in terms of graphs through various fractional orders. Finally, a brief discussion on conclusion about the simulation is given to describe how the transmission dynamics of infection take place in society.
